event_date,year,type,total_events
2017-02-11,2017,PublicEvent,814
2017-02-11,2017,PullRequestEvent,38411
2017-02-11,2017,PullRequestReviewCommentEvent,9422
2017-02-11,2017,PushEvent,471769
2017-02-11,2017,ReleaseEvent,2555
2017-02-11,2017,WatchEvent,60158
2017-02-12,2017,CommitCommentEvent,2093
2017-02-12,2017,CreateEvent,115621
2017-02-12,2017,DeleteEvent,18558
2017-02-12,2017,GollumEvent,6097
2017-02-12,2017,IssueCommentEvent,46473
2017-02-12,2017,IssuesEvent,27195
2017-02-12,2017,MemberEvent,3342
2017-02-12,2017,PublicEvent,794
2017-02-12,2017,PullRequestEvent,38475
2017-02-12,2017,PullRequestReviewCommentEvent,9792
2017-02-12,2017,PushEvent,469373
2017-02-12,2017,ReleaseEvent,2808
2017-02-12,2017,WatchEvent,62520
2017-02-13,2017,CommitCommentEvent,3395
2017-02-13,2017,CreateEvent,169497
2017-02-13,2017,DeleteEvent,30685
2017-02-13,2017,GollumEvent,8238
2017-02-13,2017,IssueCommentEvent,97568
2017-02-13,2017,IssuesEvent,46358
2017-02-13,2017,MemberEvent,6909
2017-02-13,2017,PublicEvent,1273
2017-02-13,2017,PullRequestEvent,66924
2017-02-13,2017,PullRequestReviewCommentEvent,27091
2017-02-13,2017,PushEvent,617417
2017-02-13,2017,ReleaseEvent,4470
2017-02-13,2017,WatchEvent,102804
2017-02-14,2017,CommitCommentEvent,3185
2017-02-14,2017,CreateEvent,175872
2017-02-14,2017,DeleteEvent,30722
2017-02-14,2017,GollumEvent,7905
2017-02-14,2017,IssueCommentEvent,99649
2017-02-14,2017,IssuesEvent,45673
2017-02-14,2017,MemberEvent,6804
2017-02-14,2017,PublicEvent,1161
2017-02-14,2017,PullRequestEvent,71941
2017-02-14,2017,PullRequestReviewCommentEvent,28173
2017-02-14,2017,PushEvent,627931
2017-02-14,2017,ReleaseEvent,4240
2017-02-14,2017,WatchEvent,99955
2017-02-15,2017,CommitCommentEvent,3498
2017-02-15,2017,CreateEvent,170462
2017-02-15,2017,DeleteEvent,43672
2017-02-15,2017,GollumEvent,7833
